CustomerID,CustomerName,Gender,Age,City,State,JoinDate
C001,Sanjay Verma,Female,38,Ahmedabad,Gujarat,2022-03-22
C002,Rohan Reddy,Male,46,Pune,Maharashtra,2022-12-05
C003,Priya Kapoor,Male,36,Pune,Maharashtra,2024-12-13
C004,Aman Joshi,Female,42,Ahmedabad,Gujarat,2023-07-13
C005,Ananya Gupta,Female,47,Pune,Maharashtra,2024-04-10
C006,Rahul Patel,Male,28,Hyderabad,Telangana,2022-05-12
C007,Priya Yadav,Male,35,Jaipur,Rajasthan,2022-10-27
C008,Vivaan Kapoor,Male,39,Ahmedabad,Gujarat,2024-05-18
C009,Vikram Patel,Female,54,Delhi,Delhi,2024-02-20
C010,Neha Roy,Female,30,Bengaluru,Karnataka,2022-09-23
C011,Riya Nair,Female,28,Jaipur,Rajasthan,2023-06-11
C012,Karan Das,Male,41,Ahmedabad,Gujarat,2023-04-13
C013,Karan Reddy,Female,41,Jaipur,Rajasthan,2023-12-01
C014,Aditya Kumar,Female,31,Jaipur,Rajasthan,2022-08-13
C015,Sneha Roy,Male,30,Lucknow,Uttar Pradesh,2024-09-26
C016,Meera Verma,Female,27,Jaipur,Rajasthan,2024-05-09
C017,Priya Patel,Female,42,Bengaluru,Karnataka,2023-08-13
C018,Aarav Kapoor,Female,34,Kolkata,West Bengal,2023-03-13
C019,Sanjay Mishra,Female,51,Jaipur,Rajasthan,2023-07-07
C020,Ananya Kumar,Male,27,Pune,Maharashtra,2024-03-09
C021,Meera Chatterjee,Male,60,Ahmedabad,Gujarat,2023-12-17
C022,Meera Patel,Male,42,Hyderabad,Telangana,2023-10-17
C023,Rahul Nair,Male,25,Ahmedabad,Gujarat,2022-04-25
C024,Aman Reddy,Female,50,Bengaluru,Karnataka,2022-02-05
C025,Rahul Singh,Female,18,Mumbai,Maharashtra,2023-01-01
C026,Priya Kumar,Male,48,Chennai,Tamil Nadu,2023-01-03
C027,Priya Chatterjee,Female,29,Mumbai,Maharashtra,2022-11-22
C028,Isha Das,Male,21,Delhi,Delhi,2024-09-27
C029,Ananya Das,Female,19,Kolkata,West Bengal,2022-11-17
C030,Isha Das,Male,20,Chennai,Tamil Nadu,2023-07-18
C031,Priya Singh,Female,31,Hyderabad,Telangana,2023-01-03
C032,Vikram Gupta,Male,21,Lucknow,Uttar Pradesh,2024-04-27
C033,Kavya Das,Female,25,Mumbai,Maharashtra,2024-05-27
C034,Rahul Joshi,Female,20,Bengaluru,Karnataka,2022-12-07
C035,Vikram Kapoor,Male,19,Mumbai,Maharashtra,2022-09-01
C036,Aarav Singh,Male,48,Pune,Maharashtra,2024-04-22
C037,Ankit Yadav,Male,27,Chennai,Tamil Nadu,2024-12-10
C038,Aman Patel,Female,55,Bengaluru,Karnataka,2023-01-11
C039,Isha Kapoor,Male,36,Mumbai,Maharashtra,2022-04-24
C040,Vikram Yadav,Male,52,Delhi,Delhi,2024-06-21
C041,Sanjay Yadav,Male,45,Jaipur,Rajasthan,2024-08-16
C042,Sanjay Chatterjee,Male,48,Jaipur,Rajasthan,2022-04-08
C043,Karan Joshi,Male,41,Ahmedabad,Gujarat,2024-02-02
C044,Isha Joshi,Male,33,Kolkata,West Bengal,2024-03-23
C045,Sanjay Roy,Female,58,Delhi,Delhi,2024-10-18
C046,Priya Verma,Female,36,Jaipur,Rajasthan,2022-01-03
C047,Neha Mishra,Female,47,Hyderabad,Telangana,2024-10-14
C048,Meera Yadav,Male,40,Ahmedabad,Gujarat,2023-01-09
C049,Priya Kumar,Male,22,Bengaluru,Karnataka,2023-11-05
C050,Rahul Gupta,Male,55,Chennai,Tamil Nadu,2024-08-11
C051,Aman Roy,Female,51,Kolkata,West Bengal,2022-02-05
C052,Ankit Sharma,Female,59,Hyderabad,Telangana,2023-11-08
C053,Sneha Singh,Female,34,Chennai,Tamil Nadu,2024-12-16
C054,Karan Roy,Female,30,Delhi,Delhi,2023-06-11
C055,Pooja Verma,Female,37,Bengaluru,Karnataka,2024-10-07
C056,Vikram Patel,Female,37,Bengaluru,Karnataka,2023-07-06
C057,Meera Kumar,Male,38,Kolkata,West Bengal,2022-10-20
C058,Neha Kumar,Female,20,Bengaluru,Karnataka,2023-12-04
C059,Ananya Yadav,Female,37,Mumbai,Maharashtra,2024-10-03
C060,Vikram Reddy,Female,43,Chennai,Tamil Nadu,2022-06-11
C061,Kavya Verma,Male,34,Jaipur,Rajasthan,2024-08-24
C062,Vikram Verma,Male,24,Chennai,Tamil Nadu,2024-02-22
C063,Aditya Patel,Female,23,Jaipur,Rajasthan,2023-10-26
C064,Arjun Gupta,Male,28,Delhi,Delhi,2022-06-07
C065,Sneha Yadav,Female,27,Mumbai,Maharashtra,2023-03-24
C066,Aditya Chatterjee,Female,38,Ahmedabad,Gujarat,2024-10-27
C067,Sanjay Gupta,Female,59,Lucknow,Uttar Pradesh,2024-07-27
C068,Priya Kumar,Female,28,Ahmedabad,Gujarat,2023-09-21
C069,Aman Kumar,Female,60,Jaipur,Rajasthan,2023-04-19
C070,Ankit Yadav,Female,26,Lucknow,Uttar Pradesh,2023-05-10
C071,Arjun Verma,Male,40,Hyderabad,Telangana,2023-03-25
C072,Ananya Kumar,Male,48,Kolkata,West Bengal,2023-01-13
C073,Isha Chatterjee,Male,50,Delhi,Delhi,2024-10-01
C074,Isha Mishra,Male,32,Pune,Maharashtra,2022-11-14
C075,Pooja Sharma,Male,54,Lucknow,Uttar Pradesh,2024-07-20
C076,Priya Patel,Male,32,Kolkata,West Bengal,2023-08-13
C077,Ankit Yadav,Female,54,Ahmedabad,Gujarat,2022-04-12
C078,Rahul Nair,Male,33,Chennai,Tamil Nadu,2022-12-01
C079,Neha Nair,Male,37,Jaipur,Rajasthan,2024-03-06
C080,Aarav Yadav,Female,34,Mumbai,Maharashtra,2022-07-08
C081,Isha Mishra,Female,41,Bengaluru,Karnataka,2024-04-16
C082,Ankit Joshi,Male,31,Mumbai,Maharashtra,2022-08-04
C083,Sneha Singh,Female,33,Chennai,Tamil Nadu,2022-07-23
C084,Rahul Mishra,Female,57,Kolkata,West Bengal,2022-11-05
C085,Meera Das,Male,24,Hyderabad,Telangana,2024-05-15
C086,Rohan Roy,Male,55,Chennai,Tamil Nadu,2023-04-26
C087,Arjun Gupta,Male,52,Lucknow,Uttar Pradesh,2023-01-17
C088,Isha Joshi,Male,55,Lucknow,Uttar Pradesh,2024-06-25
C089,Sanjay Mishra,Male,42,Lucknow,Uttar Pradesh,2023-09-17
C090,Sneha Kumar,Female,21,Bengaluru,Karnataka,2022-10-28
C091,Priya Nair,Male,37,Pune,Maharashtra,2022-07-04
C092,Meera Yadav,Male,21,Ahmedabad,Gujarat,2022-05-23
C093,Meera Verma,Male,39,Mumbai,Maharashtra,2023-01-12
C094,Karan Verma,Female,44,Jaipur,Rajasthan,2023-03-27
C095,Sneha Kumar,Male,54,Lucknow,Uttar Pradesh,2023-10-19
C096,Karan Kapoor,Female,31,Hyderabad,Telangana,2023-11-23
C097,Rahul Patel,Male,34,Lucknow,Uttar Pradesh,2022-06-18
C098,Riya Verma,Female,52,Jaipur,Rajasthan,2024-10-17
